frequency;MAG;PHA
100.0;0.0;-3.08333333333333
126.63801734674034;0.0;-4.0
160.3718743751331;-0.0983606557377048;-6.0
203.09176209047348;-0.0999999999999998;-7.0
257.19138090593447;-0.0999999999999998;-9.0
325.7020655659783;-0.2;-12.0
412.4626382901352;-0.299999999999999;-14.0
522.3345074266844;-0.5;-19.0
661.4740641230146;-0.700000000000002;-23.0
837.6776400682916;-1.19999999999999;-29.0
1060.8183551394482;-1.89999999999999;-35.8906605922551
1343.3993325989002;-3.0;-43.0
1701.2542798525892;-5.0;-53.3735498839907
2154.4346900318824;-8.46954643628511;-62.170626349892
2728.3333764867693;-16.2172645739909;-58.038202247191
3000.0;-21.3984126984125;-24.1159090909091
3455.1072945922183;-15.9253968253968;42.0680272108844
4375.479375074185;-7.69999999999995;42.9350961538462
5541.020330009492;-4.12568578553614;26.92
7017.038286703822;-2.51195928753181;9.85496183206106
8886.238162743408;-2.20000000000001;-9.0
11253.355826007646;-2.70000000000002;-23.0
14251.026703029964;-3.79999999999997;-36.8170426065163
18047.217668271704;-5.22391857506363;-46.0
22854.63864134993;-6.90000000000004;-55.4602272727273
28942.661247167518;-8.69999999999997;-60.9005524861878
36652.41237079626;-10.6;-66.0028818443805
46415.888336127726;-12.6;-69.4794117647059
58780.16072274912;-14.5931952662722;-72.1479289940828
74438.03013251696;-16.6;-73.560606060606
94266.84551178855;-18.6083333333334;-74.3117283950617
119377.66417144358;-20.7;-73.7794117647059
151177.507061566;-22.7246153846154;-72.8
191448.19761699575;-24.8507936507936;-69.4920634920635
242446.20170823307;-26.9819672131148;-65.2166666666667
307029.062975785;-28.8396551724138;-51.9827586206897
388815.51803080854;-28.3017857142857;-50.5892857142857
492388.26317067316;-30.1518518518519;-54.5925925925926
623550.7341273912;-31.5865384615385;-54.5
789652.2868499733;-32.354;-44.7083333333333
1000000.0;-32.73125;-18.5348837209302
